ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
415,Conseil départemental de la Nièvre,NIEVRE,225800010,58,"209,860.00",Departement
386,Conseil Départemental de la Seine Maritime,SEINE MARITIME,227605409,76,"1,276,532.00",Departement
411,conseil départemental de la seine saint denis,SEINE SAINT DENIS,229300082,93,"1,651,739.00",Departement
723,Conseil Départemental de Meurthe-et-Moselle,MEURTHE ET MOSELLE,225400019,54,"745,453.00",Departement
118,Conseil Départemental des Côtes d'Armor,COTES D ARMOR,222200016,22000,"618,869.00",Departement
191,Conseil départemental des Côtes d'Armor,COTES D ARMOR,222200016,22000,"618,869.00",Departement
460,Conseil départemental des Hauts-de-Seine,HAUTS DE SEINE,229200506,92,"1,640,721.00",Departement
143,Conseil Départemental des Vosges,VOSGES,228800017,88,"375,855.00",Departement
994,Conseil départemental du Finistère,FINISTERE,222900011,29,"940,279.00",Departement
408,Conseil départemental du Val d'Oise,VAL D OISE,229501275,95,"1,259,985.00",Departement
263,Conseil départemental du Var,VAR,228300018,83,"1,093,822.00",Departement
772,Conseil Régional Centre-Val de Loire,CENTRE VAL DE LOIRE,234500023,24,"2,631,844.00",Region
632,Conseil régional d'Ile-de-France,D ILE DE FRANCE,237 500 079,,,Region
613,Conseil régional des hauts de france,DES HAUTS DE FRANCE,,,,Region
527,COURLAOUX,COURLAOUX,213901713,39171,"1,175.00",Commune
762,Covéa (GMF-MAAF-MMA),COVEA  GMF MAAF MMA,,,,
218,Cpmmunauté de communes Pays Haut val d'Alzette,CPMMUNAUTE DE COMMUNES PAYS HAUT VAL D ALZETTE,,,,EPCI
991,cr,CR,,,,
215,CRIGE PACA,CRIGE PACA,,,,
1005,Cross Data,CROSS DATA,,,,
535,dazdaz,DAZDAZ,,,,
770,DDETS67,DDETS,,,,
724,DDFIP51,DDFIP,,,,
738,DDT 88 (Direction Départementale des Territoires des Vosges),DDT   DIRECTION DEPARTEMENTALE DES TERRITOIRES DES VOSGES,,,,
673,ddt de la marne,DDT DE LA MARNE,,,,
872,DDT du Bas-Rhin,DDT DU BAS RHIN,,,,
884,DDT57,DDT,,,,
979,DDT67,DDT,,,,
802,DDTM22,DDTM,,,,
793,DEPARTEMANT REUNION,DEPARTEMANT REUNION,,,,Departement
62,Département d'Ille-et-Vilaine,ILLE ET VILAINE,223500018,35,"1,104,397.00",Departement
161,Département d'Ille-et-Vilaine,ILLE ET VILAINE,223500018,35,"1,104,397.00",Departement
182,Département d'Ille-et-Vilaine,ILLE ET VILAINE,223500018,35,"1,104,397.00",Departement
612,Département d'Ille-et-Vilaine,ILLE ET VILAINE,223500018,35,"1,104,397.00",Departement
731,DEPARTEMENT DE L'AUBE,L AUBE,,,,Departement
922,Département de l'Eure,L EURE,,,,Departement
803,Département de l'Hérault,L HERAULT,,,,Departement
536,Département de l'Isère,L ISERE,,,,Departement
124,Département de la DROME,LA DROME,,,,Departement
164,département de la gironde,LA GIRONDE,,,,Departement
242,Département de la gironde,LA GIRONDE,,,,Departement
675,Département de la Haute-Marne,LA HAUTE MARNE,,,,Departement
618,Département de la Loire,LA LOIRE,,,,Departement
874,Département de la Meuse,LA MEUSE,,,,Departement
97,Département de la Moselle,LA MOSELLE,,,,Departement
438,Département de La Réunion,LA REUNION,229740014,974,"870,870.00",Departement
