ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
449,Mairie de Besançon,BESANCON,212500565,25056,121144,Commune
454,CCAS d'Echirolles,CCAS D ECHIROLLES,,,,
455,?,,,,,
456,Mairie de Villejuif,VILLEJUIF,219400769,94076,55451,Commune
460,Conseil départemental des Hauts-de-Seine,HAUTS DE SEINE,229200506,92,1640721,Departement
472,Département de Meurthe et Moselle,MEURTHE ET MOSELLE,225400019,54,745453,Departement
474,trth,TRTH,,,,
475,CACL GUYANE,CACL GUYANE,249 730 045,,,EPCI
477,VILLE DE LYON,VILLE DE LYON,216901231,69123,529570,Commune
478,DGS-PMI de la CEA,DGS PMI DE LA CEA,,,,
480,CCAS de la Ville de Sélestat,CCAS DE LA VILLE DE SELESTAT,,,,
487,User_e_com,USER E COM,,,,
489,Île-de-France Mobilités,ILE DE FRANCE MOBILITES,,,,
493,Eure et Loir Ingénierie,EURE ET LOIR INGENIERIE,,,,
496,Mairie de Montreuil,MONTREUIL,219300480,93048,111810,Commune
498,mairie de Val d'Isère,VAL D ISERE,217303049,73304,1629,Commune
499,Parc naturel régional des Vosges du Nord,PARC NATUREL REGIONAL DES VOSGES DU NORD,,,,
500,SGAR,SGAR,,,,
502,Région Réunion,REGION REUNION,,,,Region
503,Collectivité européenne d'Alsace,COLLECTIVITE EUROPEENNE D ALSACE,200 094 332,,,Departement
505,MDPH 31,MDPH,,,,
507,Communauté d'agglomération de Blois,CA DE BLOIS,200 030 385,41009,105445,EPCI
508,Communauté d'Agglomération de Grand Paris Sud - Seine Essonne Sénart -,CA DE GRAND PARIS SUD   SEINE ESSONNE SENART,200 059 228,77067,,EPCI
515,Grand Besançon Métropole,GRAND BESANCON METROPOLE,,,,Metropole
518,Mairie de Montauban,MONTAUBAN,218201218,82121,62832,Commune
519,Département des Bouches du Rhônes,DES BOUCHES DU RHONES,,,,Departement
520,Caux Seine agglo,CAUX SEINE AGGLO,200010700,,,EPCI
521,Expertise France (groupe AFD),EXPERTISE FRANCE  GROUPE AFD,,,,
522,Communauté d'Agglomération de l'Espace sud Martinique,CA DE L ESPACE SUD MARTINIQUE,249720053,,,EPCI
523,Communauté d'agglomération de la porte du hainaut,CA DE LA PORTE DU HAINAUT,200 042 190,,,EPCI
525,Ville de Lyon,VILLE DE LYON,216901231,69123,529570,Commune
527,COURLAOUX,COURLAOUX,213901713,39171,1175,Commune
532,Mairie de LACROIX-FALGARDE,LACROIX FALGARDE,213102593,31259,2130,Commune
534,Communaute d'Agglomération de Bastia,CA DE BASTIA,242000354,,63277,EPCI
535,dazdaz,DAZDAZ,,,,
536,Département de l'Isère,L ISERE,,,,Departement
538,CCI Hauts De France,CCI HAUTS DE FRANCE,,,,
539,ICRC,ICRC,,,,
542,Conseil Départemental de l'Essonne,ESSONNE,229102280,91,1316011,Departement
544,CDG12,CDG,,,,
549,Val de Loire Numérique,VAL DE LOIRE NUMERIQUE,,,,
551,Collectivité européenne d'Alsace,COLLECTIVITE EUROPEENNE D ALSACE,200 094 332,,,Departement
552,CA LE GRAND NARBONNE,CA LE GRAND NARBONNE,241100593,,133409,EPCI
556,CDA La Rochelle,CDA LA ROCHELLE,241 700 434,,,EPCI
557,Région academique Bourgogne-Franche-Comté,REGION ACADEMIQUE BOURGOGNE FRANCHE COMTE,,,,Region
558,Tours Métropole Val de Loire,TOURS METROPOLE VAL DE LOIRE,243700754,,301900,Metropole
563,assurance maladie,ASSURANCE MALADIE,,,,
566,SDEHG,SDEHG,,,,
568,Conseil départemental de l'Ariège,ARIEGE,220900013,9,157339,Departement
569,a,A,,,,
570,Département du Gers,DU GERS,,,,Departement
571,Syndicat mixte du SCOT PLaine du Roussillon,SYNDICAT MIXTE DU SCOT PLAINE DU ROUSSILLON,,,,
578,cogedope,COGEDOPE,,,,
579,Mairie de Bertrtimoutier,BERTRTIMOUTIER,218800548,88520,307,Commune
580,COMMUNE DE MAMOUDZOU,MAMOUDZOU,200008837,97611,72974,Commune
581,sebastien martinez,SEBASTIEN MARTINEZ,,,,
582,Communauté de Communes du Piémont Cévenol,CC DU PIEMONT CEVENOL,200034411,,22459,EPCI
585,Communauté de Communes Sud-Hérault,CC SUD HERAULT,200042653,,18235,EPCI
586,Collectivité de Corse,COLLECTIVITE DE CORSE,200 076 958,,339178,Region
588,Ville de Gauchy,VILLE DE GAUCHY,210203212,2340,5309,Commune
591,ASA du canal Branche ancienne de Prades,ASA DU CANAL BRANCHE ANCIENNE DE PRADES,,,,
592,Syndicat Intercommunal d'Information Géographique (SiiG),SYNDICAT INTERCOMMUNAL D INFORMATION GEOGRAPHIQUE  SIIG,,,,
597,IGN,IGN,,,,
598,sdis971,SDIS,,,,
602,Syndicat intercommunal de valberg,SYNDICAT INTERCOMMUNAL DE VALBERG,,,,
603,BDF,BDF,,,,
604,ISEE,ISEE,,,,
607,CFDT,CFDT,,,,
609,Les Échos,LES ECHOS,,,,
612,Département d'Ille-et-Vilaine,ILLE ET VILAINE,223500018,35,1104397,Departement
613,Conseil régional des hauts de france,DES HAUTS DE FRANCE,,,,Region
614,SCALEN,SCALEN,,,,
616,Conseil Départemental de l'Hérault,HERAULT,223400011,34,1193790,Departement
617,CDG FPT 21,CDG FPT,,,,
618,Département de la Loire,LA LOIRE,,,,Departement
619,ccas,CCAS,,,,
620,Région Grand Est,REGION GRAND EST,,,,Region
621,anct,ANCT,,,,
622,Teritorio,TERITORIO,,,,
623,Région sud,REGION SUD,,,,Region
626,Grand Auch Coeur de Gascogne,GRAND AUCH COEUR DE GASCOGNE,,,,EPCI
627,CC du Pays de Lunel,CC DU PAYS DE LUNEL,243400520,,51565,EPCI
628,SMMAR,SMMAR,,,,
630,Communuté d'agglomération du Cotentin,COMMUNUTE D AGGLOMERATION DU COTENTIN,,,,EPCI
